Country,Date,Sum_Confirmed,sum_Recovered,sum_Deaths,sum_Active,Median_CaseFatalityRatio,Median_IncidenceRate,Lat,Lon
United Kingdom,2020-03-23 00:00:00,6726,140,336,6250,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-03-24 00:00:00,8164,140,423,7601,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-03-25 00:00:00,9640,140,466,9034,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-03-26 00:00:00,11812,150,580,11082,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-03-27 00:00:00,14745,151,761,13833,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-03-31 00:00:00,25481,179,1793,23509,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-01 00:00:00,29865,179,2357,27329,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-03 00:00:00,38689,208,3611,34870,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-05 00:00:00,48436,229,4943,43264,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-07 00:00:00,55949,325,6171,49453,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-08 00:00:00,61474,345,7111,54018,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-09 00:00:00,65872,359,7993,57520,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-10 00:00:00,74605,588,8974,65043,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-11 00:00:00,79874,622,9892,69360,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-12 00:00:00,85206,626,10629,73951,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-13 00:00:00,89570,304,11347,77919,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-14 00:00:00,94845,323,12129,82393,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-15 00:00:00,99483,368,12894,86221,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-16 00:00:00,104145,375,13759,90011,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-17 00:00:00,109769,394,14607,94768,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-18 00:00:00,115314,414,15498,99402,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-19 00:00:00,121172,436,16095,104641,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-20 00:00:00,125856,446,16550,108860,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-21 00:00:00,130172,638,17378,112156,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-22 00:00:00,134638,683,18151,115804,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-24 00:00:00,139246,712,18791,119743,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-25 00:00:00,144640,724,19567,124349,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-26 00:00:00,149569,774,20381,128414,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-27 00:00:00,154037,778,20794,132465,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-28 00:00:00,158348,807,21157,136384,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-29 00:00:00,162350,813,21745,139792,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-04-30 00:00:00,166441,857,26166,139418,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-01 00:00:00,172481,859,26842,144780,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-02 00:00:00,178685,892,27583,150210,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-03 00:00:00,183500,896,28205,154399,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-04 00:00:00,187842,901,28520,158421,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-05 00:00:00,191832,910,28809,162113,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-06 00:00:00,196243,926,29501,165816,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-07 00:00:00,202359,934,30150,171275,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-08 00:00:00,207977,970,30689,176318,NaN,NaN,56.4907,-4.2026
United Kingdom,2020-05-09 00:00:00,212629,997,31316,180316,NaN,NaN,56.4907,-4.2026
